stock_symbol,trade_date,open_price,high_price,low_price,close_price,volume,daily_return_pct,ma_50,ma_200,volatility_30d_pct
MARUTI.NS,2015-01-27,3314.64,3368.97,3260.26,3353.69,1278436,,3353.69,3353.69,
MARUTI.NS,2015-01-28,3357.42,3417.9,3357.42,3388.16,672705,1.03,3370.93,3370.93,0.0
MARUTI.NS,2015-01-29,3405.62,3405.62,3343.78,3354.51,603103,-0.99,3365.45,3365.45,1.01
MARUTI.NS,2015-01-30,3364.7,3401.98,3297.9,3316.82,284786,-1.12,3353.3,3353.3,0.98
MARUTI.NS,2015-02-02,3316.82,3387.43,3291.95,3336.92,319679,0.61,3350.02,3350.02,0.95
MARUTI.NS,2015-02-03,3371.97,3371.97,3273.76,3280.9,220676,-1.68,3338.5,3338.5,1.06
MARUTI.NS,2015-02-04,3291.95,3304.68,3228.75,3235.16,203545,-1.39,3323.74,3323.74,1.03
MARUTI.NS,2015-02-05,3254.66,3271.03,3190.1,3203.47,379633,-0.98,3308.7,3308.7,0.96
MARUTI.NS,2015-02-06,3209.88,3213.29,3173.73,3185.19,198214,-0.57,3294.98,3294.98,0.9
MARUTI.NS,2015-02-09,3173.73,3180.28,3091.88,3102.16,286868,-2.61,3275.7,3275.7,1.05
MARUTI.NS,2015-02-10,3085.52,3162.82,3055.51,3086.29,547537,-0.51,3258.48,3258.48,1.0
MARUTI.NS,2015-02-11,3097.34,3156.27,3097.34,3141.67,341769,1.79,3248.75,3248.75,1.21
MARUTI.NS,2015-02-12,3153.72,3237.16,3153.72,3230.02,436882,2.81,3247.3,3247.3,1.49
MARUTI.NS,2015-02-13,3241.93,3298.31,3211.29,3289.17,321186,1.83,3250.3,3250.3,1.54
MARUTI.NS,2015-02-16,3291.95,3319.23,3238.75,3248.39,260901,-1.24,3250.17,3250.17,1.51
MARUTI.NS,2015-02-18,3251.03,3259.21,3225.61,3241.89,161803,-0.2,3249.65,3249.65,1.46
MARUTI.NS,2015-02-19,3251.03,3287.4,3239.34,3269.35,214789,0.85,3250.81,3250.81,1.44
MARUTI.NS,2015-02-20,3282.85,3286.49,3221.02,3225.88,240749,-1.33,3249.42,3249.42,1.42
MARUTI.NS,2015-02-23,3238.29,3251.03,3212.7,3224.56,163132,-0.04,3248.12,3248.12,1.38
MARUTI.NS,2015-02-24,3249.98,3273.76,3231.2,3263.12,143983,1.2,3248.87,3248.87,1.38
MARUTI.NS,2015-02-25,3269.21,3287.4,3241.11,3255.48,173339,-0.23,3249.18,3249.18,1.35
MARUTI.NS,2015-02-26,3244.02,3257.3,3167.5,3179.96,429598,-2.32,3246.03,3246.03,1.4
MARUTI.NS,2015-02-27,3180.09,3290.9,3179.96,3277.76,378654,3.08,3247.41,3247.41,1.53
MARUTI.NS,2015-03-02,3317.5,3391.98,3303.09,3375.11,386182,2.97,3252.73,3252.73,1.62
MARUTI.NS,2015-03-03,3381.07,3395.94,3355.2,3372.56,206296,-0.08,3257.53,3257.53,1.59
MARUTI.NS,2015-03-04,3410.17,3446.27,3316.73,3345.06,340907,-0.82,3260.89,3260.89,1.56
MARUTI.NS,2015-03-05,3343.78,3374.93,3311.36,3345.37,152837,0.01,3264.02,3264.02,1.53
MARUTI.NS,2015-03-09,3303.13,3356.42,3294.68,3338.6,218786,-0.2,3266.69,3266.69,1.51
MARUTI.NS,2015-03-10,3354.69,3354.69,3310.36,3316.27,182667,-0.67,3268.4,3268.4,1.48
MARUTI.NS,2015-03-11,3312.0,3339.24,3287.72,3325.09,198508,0.27,3270.29,3270.29,1.46
MARUTI.NS,2015-03-12,3335.05,3382.84,3330.23,3351.24,308505,0.79,3272.9,3272.9,1.44
MARUTI.NS,2015-03-13,3369.24,3380.34,3296.59,3319.87,363024,-0.94,3274.37,3274.37,1.44
MARUTI.NS,2015-03-16,3320.14,3343.78,3308.13,3316.55,182829,-0.1,3275.64,3275.64,1.43
MARUTI.NS,2015-03-17,3332.87,3354.65,3295.18,3329.73,185250,0.4,3277.23,3277.23,1.42
MARUTI.NS,2015-03-18,3331.05,3344.69,3312.23,3332.78,177261,0.09,3278.82,3278.82,1.41
MARUTI.NS,2015-03-19,3338.33,3360.15,3317.41,3323.78,252139,-0.27,3280.07,3280.07,1.38
MARUTI.NS,2015-03-20,3310.14,3339.96,3282.85,3295.45,206403,-0.85,3280.49,3280.49,1.36
MARUTI.NS,2015-03-23,3296.54,3309.41,3258.35,3268.67,192986,-0.81,3280.18,3280.18,1.36
MARUTI.NS,2015-03-24,3296.49,3305.59,3243.8,3262.21,227226,-0.2,3279.71,3279.71,1.35
MARUTI.NS,2015-03-25,3264.67,3300.04,3249.48,3287.17,201854,0.77,3279.9,3279.9,1.26
MARUTI.NS,2015-03-26,3278.31,3294.63,3217.33,3238.7,489101,-1.47,3278.9,3278.9,1.29
MARUTI.NS,2015-03-27,3246.48,3291.72,3224.29,3282.9,204071,1.36,3278.99,3278.99,1.28
MARUTI.NS,2015-03-30,3300.13,3341.05,3274.17,3329.19,152167,1.41,3280.16,3280.16,1.2
MARUTI.NS,2015-03-31,3328.19,3389.89,3328.19,3362.29,294635,0.99,3282.03,3282.03,1.17
MARUTI.NS,2015-04-01,3364.65,3417.03,3273.76,3314.41,694487,-1.42,3282.74,3282.74,1.18
MARUTI.NS,2015-04-06,3315.59,3338.24,3291.04,3300.09,262771,-0.43,3283.12,3283.12,1.18
MARUTI.NS,2015-04-07,3310.14,3319.23,3253.75,3273.67,306684,-0.8,3282.92,3282.92,1.18
MARUTI.NS,2015-04-08,3287.4,3332.78,3279.22,3299.86,256031,0.8,3283.27,3283.27,1.16
MARUTI.NS,2015-04-09,3309.23,3334.69,3296.49,3327.6,238584,0.84,3284.18,3284.18,1.17
MARUTI.NS,2015-04-10,3328.32,3354.1,3304.13,3334.32,201302,0.2,3285.18,3285.18,1.15
MARUTI.NS,2015-04-13,3329.23,3346.51,3312.64,3333.05,218690,-0.04,3284.77,3286.12,1.15
MARUTI.NS,2015-04-15,3323.78,3391.07,3319.59,3346.74,232802,0.41,3283.94,3287.29,1.06
MARUTI.NS,2015-04-16,3343.1,3381.7,3330.37,3344.6,206305,-0.06,3283.74,3288.37,0.91
MARUTI.NS,2015-04-17,3333.92,3349.15,3306.82,3316.32,99056,-0.85,3283.73,3288.88,0.75
MARUTI.NS,2015-04-20,3298.31,3317.77,3259.76,3281.08,175033,-1.06,3282.62,3288.74,0.77
MARUTI.NS,2015-04-21,3278.31,3280.35,3155.54,3173.86,482786,-3.27,3280.47,3286.69,0.96
MARUTI.NS,2015-04-22,3174.68,3190.19,3079.24,3149.13,422446,-0.78,3278.75,3284.28,0.96
MARUTI.NS,2015-04-23,3173.73,3215.15,3164.63,3177.78,234616,0.91,3278.24,3282.44,0.98
MARUTI.NS,2015-04-24,3170.09,3241.93,3122.89,3220.47,332449,1.34,3278.95,3281.39,1.01
MARUTI.NS,2015-04-27,3240.3,3350.15,3201.19,3317.77,1804129,3.02,3283.26,3282.0,1.16
